7,620
2,884
5,160
5,749
4,970
10,570
62,528
1,616
28,822
5,930
6,855
6,838
8,871
9,108
12,099
9,971
11,083
132,465
9,349
9,579
9,861
11,754
57,349
3,155
9,496
35,973
109,028
8,584
3,145
4,476
38,136
9,616
31,883
47,886
30,901
2,295
158,766
0,054
11,706
2,073
10,947
2,941
64,117
1,224
6,949
8,070
7,955
14,973
3,697
29,292
7,590
63,731
49,856
4,105
9,583
7,466
6,430
13,772
8,461
8,412
4,833
4,570
3,412
0,689
5,364
8,435
3,820
2,886
61,793
196,140
0,386
10,193
12,858
7,095
20,001
2,469
34,185
6,264
9,139
8,234
7,522
1,116
9,877
6,316
2,923
128,881
10,161
9,610
5,761
10,172
9,142
7,299
190,451
10,475
99,062
8,488
9,524
2,916
10,417
10,018
7,876
110,896
99,773
5,410
9,686
36,167
5,837
6,014
7,174
6,297
13,864
6,531
1,643
8,620
7,305
1,915
8,206
9,620
2,124
6,524
3,268
17,613
4,751
8,705
9,732
51,222
9,949
54,775
8,511
1,853
5,094
10,420
9,867
19,244
9,780
74,230
9,399
3,672
10,384
64,086
0,489
13,153
8,154
2,361
9,353
3,759
10,194
6,853
7,930
7,651
14,302
27,757
3,261
3,156
2,556
10,932
11,551
4,312
9,183
8,618
3,347
6,847
9,771
11,309
86,049
1,088
7,332
2,546
7,173
14,971
1,787
6,366
14,414
6,929
9,430
7,444
5,733
42,227
11,260
3,809
11,008
8,861
60,175
4,998
20,140
3,954
8,572
11,560
6,104
31,755
11,110
10,670
9,083
9,772
12,567
2,748
21,858
6,612
5,153
6,162
64,132
6,719
36,787
4,386
7,796
4,021
7,435
2,201
7,116
30,713
4,328
7,418
6,791
14,708
1,501
3,181
196,628
7,729
22,967
2,943
9,754
3,615
12,342
2,999
3,826
40,473
3,713
68,419
53,981
5,723
9,355
1,243
5,519
7,474
2,905
5,438
3,911
4,354
18,880
2,141
10,785
0,828
2,870
4,246
7,045
8,108
101,842
8,448
8,926
1,776
2,669
6,777
283,167
66,874
5,562
27,519
59,625
19,615
3,642
10,744
11,754
8,976
68,282
3,373
7,164
6,557
1,868
5,354
9,474
138,185
9,542
57,240
69,339
6,023
4,010
10,793
4,938
11,973
1,361
9,758
46,763
56,283
130,384
2,685
7,093
13,302
49,204
2,285
9,387
1,673
16,366
5,613
10,205
11,241
4,200
5,943
21,634
23,806
2,796
5,045
